stem,class,split,path,n_boxes
crescent_gap__img_08_424799400_01079,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_08_424799400_01079.jpg,1
crescent_gap__img_08_424799400_01080,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_08_424799400_01080.jpg,1
crescent_gap__img_08_424799600_00001,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_08_424799600_00001.jpg,2
crescent_gap__img_08_425006600_00930,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_08_425006600_00930.jpg,2
crescent_gap__img_08_425244400_00900,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_08_425244400_00900.jpg,2
crescent_gap__img_08_425502600_00052,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_08_425502600_00052.jpg,1
crescent_gap__img_08_425502700_00052,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_08_425502700_00052.jpg,2
crescent_gap__img_08_425502900_00053,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_08_425502900_00053.jpg,1
crescent_gap__img_08_425503100_00053,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_08_425503100_00053.jpg,2
crescent_gap__img_08_425503600_00053,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_08_425503600_00053.jpg,2
crescent_gap__img_08_425505100_00053,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_08_425505100_00053.jpg,2
crescent_gap__img_08_425505500_00052,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_08_425505500_00052.jpg,1
crescent_gap__img_08_436068100_00003,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_08_436068100_00003.jpg,2
crescent_gap__img_08_436068100_00004,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_08_436068100_00004.jpg,1
crescent_gap__img_08_4402842500_01043,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_08_4402842500_01043.jpg,1
inclusion__img_02_3436816100_00147,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_02_3436816100_00147.jpg,1
inclusion__img_02_3436816100_00148,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_02_3436816100_00148.jpg,3
inclusion__img_02_3436816100_00152,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_02_3436816100_00152.jpg,2
inclusion__img_02_424799600_00382,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_02_424799600_00382.jpg,1
inclusion__img_02_425392300_00834,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_02_425392300_00834.jpg,2
inclusion__img_02_425392400_00022,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_02_425392400_00022.jpg,1
inclusion__img_02_425502300_00338,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_02_425502300_00338.jpg,1
inclusion__img_02_425503800_00019,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_02_425503800_00019.jpg,1
inclusion__img_02_425505100_00022,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_02_425505100_00022.jpg,1
inclusion__img_02_425646200_00634,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_02_425646200_00634.jpg,2
inclusion__img_02_4402623300_00028,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_02_4402623300_00028.jpg,1
inclusion__img_02_4406446600_00072,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_02_4406446600_00072.jpg,3
inclusion__img_02_4406645900_00339,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_02_4406645900_00339.jpg,1
inclusion__img_03_424799600_00382,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_03_424799600_00382.jpg,2
inclusion__img_03_425383400_00420,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_03_425383400_00420.jpg,1
inclusion__img_03_425391800_00255,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_03_425391800_00255.jpg,1
inclusion__img_03_425501800_01166,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_03_425501800_01166.jpg,2
inclusion__img_03_425501800_01196,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_03_425501800_01196.jpg,2
inclusion__img_03_425501800_01202,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_03_425501800_01202.jpg,2
inclusion__img_03_425637500_00012,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_03_425637500_00012.jpg,1
inclusion__img_03_4401440300_00347,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_03_4401440300_00347.jpg,3
inclusion__img_04_425380400_00732,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_04_425380400_00732.jpg,1
inclusion__img_04_425503200_00019,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_04_425503200_00019.jpg,1
inclusion__img_04_4402622500_00362,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_04_4402622500_00362.jpg,2
inclusion__img_04_4402622500_00373,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_04_4402622500_00373.jpg,2
inclusion__img_04_4402622500_00378,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_04_4402622500_00378.jpg,1
inclusion__img_05_425243500_00952,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_05_425243500_00952.jpg,1
inclusion__img_05_425243500_01116,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_05_425243500_01116.jpg,1
inclusion__img_05_425504900_00057,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_05_425504900_00057.jpg,1
inclusion__img_06_425237000_00528,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_06_425237000_00528.jpg,4
inclusion__img_06_425237000_00664,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_06_425237000_00664.jpg,2
inclusion__img_06_425237000_00673,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_06_425237000_00673.jpg,1
inclusion__img_06_425237000_00674,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_06_425237000_00674.jpg,1
inclusion__img_06_425506300_01028,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_06_425506300_01028.jpg,1
inclusion__img_07_425008500_00314,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_07_425008500_00314.jpg,2
inclusion__img_07_425503000_00061,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_07_425503000_00061.jpg,1
inclusion__img_07_425508400_00364,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_07_425508400_00364.jpg,1
inclusion__img_07_425508700_01012,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_07_425508700_01012.jpg,3
inclusion__img_07_4406645900_00863,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_07_4406645900_00863.jpg,2
inclusion__img_08_425506600_00952,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_08_425506600_00952.jpg,1
inclusion__img_08_425508100_01404,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_08_425508100_01404.jpg,1
inclusion__img_08_425508200_00024,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_08_425508200_00024.jpg,2
inclusion__img_08_425638500_00036,inclusion,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\inclusion\inclusion__img_08_425638500_00036.jpg,1
oil_spot__img_02_425507000_00872,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_02_425507000_00872.jpg,3
oil_spot__img_02_425507000_00876,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_02_425507000_00876.jpg,2
oil_spot__img_02_425507200_01510,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_02_425507200_01510.jpg,3
oil_spot__img_02_425507200_01511,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_02_425507200_01511.jpg,3
oil_spot__img_02_425507200_01514,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_02_425507200_01514.jpg,3
oil_spot__img_02_425507200_01517,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_02_425507200_01517.jpg,3
oil_spot__img_03_3402617700_00456,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_03_3402617700_00456.jpg,2
oil_spot__img_03_3402617700_00886,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_03_3402617700_00886.jpg,2
oil_spot__img_03_3437006500_00033,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_03_3437006500_00033.jpg,3
oil_spot__img_03_SIS001546_00029,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_03_SIS001546_00029.jpg,4
oil_spot__img_04_431854700_00086,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_04_431854700_00086.jpg,1
oil_spot__img_04_431854700_00385,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_04_431854700_00385.jpg,2
oil_spot__img_04_436163100_00005,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_04_436163100_00005.jpg,4
oil_spot__img_04_436163100_00007,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_04_436163100_00007.jpg,3
oil_spot__img_04_436163100_00009,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_04_436163100_00009.jpg,3
oil_spot__img_04_436163100_00010,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_04_436163100_00010.jpg,3
oil_spot__img_04_436163100_00039,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_04_436163100_00039.jpg,1
oil_spot__img_06_425502300_01405,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_06_425502300_01405.jpg,5
oil_spot__img_06_425502300_01406,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_06_425502300_01406.jpg,6
oil_spot__img_06_425502300_01407,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_06_425502300_01407.jpg,6
oil_spot__img_06_425502300_01408,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_06_425502300_01408.jpg,5
oil_spot__img_06_425503400_00049,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_06_425503400_00049.jpg,1
oil_spot__img_06_427199900_01065,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_06_427199900_01065.jpg,1
oil_spot__img_07_3437011100_00685,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_07_3437011100_00685.jpg,2
oil_spot__img_07_425100400_00067,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_07_425100400_00067.jpg,1
oil_spot__img_07_425390700_00052,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_07_425390700_00052.jpg,1
oil_spot__img_07_425390800_00008,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_07_425390800_00008.jpg,1
oil_spot__img_07_425390900_00055,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_07_425390900_00055.jpg,4
oil_spot__img_07_425390900_00056,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_07_425390900_00056.jpg,5
oil_spot__img_07_425390900_00069,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_07_425390900_00069.jpg,4
oil_spot__img_07_425390900_00083,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_07_425390900_00083.jpg,5
oil_spot__img_07_425390900_00087,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_07_425390900_00087.jpg,6
oil_spot__img_07_435974600_00220,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_07_435974600_00220.jpg,1
oil_spot__img_07_435974600_00226,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_07_435974600_00226.jpg,1
oil_spot__img_07_436163600_00084,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_07_436163600_00084.jpg,2
oil_spot__img_07_4405168700_00710,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_07_4405168700_00710.jpg,2
oil_spot__img_08_3437011100_00687,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_08_3437011100_00687.jpg,2
oil_spot__img_08_425391700_00182,oil_spot,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\oil_spot\oil_spot__img_08_425391700_00182.jpg,2
